Name;Date;Opponent;League;Appearance;RBI;Run;SB;SBA;RISP
Daniel;16/06/2024;Dragons;LCB-A;1b;0;1;1;1;false
Daniel;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Daniel;16/06/2024;Dragons;LCB-A;HR;1;1;0;0;false
Daniel;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Yoel;16/06/2024;Dragons;LCB-A;BB;0;1;1;1;false
Yoel;16/06/2024;Dragons;LCB-A;BB;0;1;0;0;true
Yoel;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Yoel;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Eudomar;16/06/2024;Dragons;LCB-A;K;0;0;0;0;true
Eudomar;16/06/2024;Dragons;LCB-A;3b;0;1;0;0;false
Rolando;16/06/2024;Dragons;LCB-A;1b;1;1;1;1;true
Rolando;16/06/2024;Dragons;LCB-A;BB;0;1;0;0;true
G. Lombardi;16/06/2024;Dragons;LCB-A;2b;2;1;0;0;true
G. Lombardi;16/06/2024;Dragons;LCB-A;ROE;0;0;0;0;true
Alex Rodriguez;16/06/2024;Dragons;LCB-A;BB;0;0;0;0;true
Alex Rodriguez;16/06/2024;Dragons;LCB-A;K;0;0;0;0;true
W. Farias;16/06/2024;Dragons;LCB-A;BB;0;0;0;0;true
W. Farias;16/06/2024;Dragons;LCB-A;K;0;0;0;0;true
G. Marquez;16/06/2024;Dragons;LCB-A;1b;1;0;0;0;true
G. Marquez;16/06/2024;Dragons;LCB-A;BB;0;0;1;2;false
Tomita;16/06/2024;Dragons;LCB-A;K;0;0;0;0;true
Tomita;16/06/2024;Dragons;LCB-A;BB;0;1;0;0;false
A. Flores;16/06/2024;Dragons;LCB-A;BB;0;1;0;0;true
L. Marquez;16/06/2024;Dragons;LCB-A;HR;3;1;0;0;true
L. Marquez;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Ralph;16/06/2024;Dragons;LCB-A;GO;0;0;0;0;false
Ralph;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Leomar;16/06/2024;Dragons;LCB-A;GO;0;0;0;0;false
Leomar;16/06/2024;Dragons;LCB-A;K;0;0;0;0;false
Fernando;16/06/2024;Dragons;LCB-A;HR;1;1;0;0;false
Fernando;16/06/2024;Dragons;LCB-A;BB;0;0;0;0;false
Panda;16/06/2024;Dragons;LCB-A;BB;0;1;0;0;false
P. Zaniboni;16/06/2024;Dragons;LCB-A;BB;0;0;0;0;false
Daniel;16/06/2024;Piratas;LCB-A;ROE;0;0;0;0;false
Daniel;16/06/2024;Piratas;LCB-A;RFC;1;1;2;2;true
Daniel;16/06/2024;Piratas;LCB-A;HR;1;1;0;0;false
Daniel;16/06/2024;Piratas;LCB-A;RFC;0;0;0;0;false
Yoel;16/06/2024;Piratas;LCB-A;BB;0;1;1;1;false
Yoel;16/06/2024;Piratas;LCB-A;HBP;0;1;0;0;true
Yoel;16/06/2024;Piratas;LCB-A;HBP;0;1;0;0;true
Eudomar;16/06/2024;Piratas;LCB-A;1b;1;0;0;0;true
Eudomar;16/06/2024;Piratas;LCB-A;K;0;0;0;0;true
Rolando;16/06/2024;Piratas;LCB-A;K;0;0;0;0;true
Rolando;16/06/2024;Piratas;LCB-A;GO;0;0;0;0;true
G. Lombardi;16/06/2024;Piratas;LCB-A;1b;0;1;0;0;false
W. Farias;16/06/2024;Piratas;LCB-A;BB;0;1;0;0;true
G. Marquez;16/06/2024;Piratas;LCB-A;1b;1;1;1;1;true
G. Marquez;16/06/2024;Piratas;LCB-A;HR;3;1;0;0;true
G. Marquez;16/06/2024;Piratas;LCB-A;BB;0;1;0;0;true
